Meme ID,url,title,Meme Page URL,MD5 Hash,File Size (In Bytes),Alternate Text,Display Name,Upper Text,Lower Text,downvotes,upvotes
10509464,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/10509464.jpg,Spiderman Approves,http://memegenerator.net/instance/10509464,91eee1453f2b66b4b0d662476bf630d8,87868,seems legit,Spiderman Approves,seems,legit,194,675
12285257,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/12285257.jpg,Alright Then Business Kid,http://memegenerator.net/instance/12285257,96a3aa60c0f3a5ffb027e8977f23b2cc,110242,Fret not I stayed at a Holiday Inn Express last night,Alright Then Business Kid,Fret not,I stayed at a Holiday Inn Express last night,201,722
20612245,http://webarchive.loc.gov/all/0/https://cdn.meme.am/instances/20612245.jpg,Archer,http://memegenerator.net/instance/20612245,1b84704851704a2dc366768a2210d659,125963,"hello airplanes? yeah, this is blimps. Yeah, you win.",Archer,"hello airplanes? yeah, this is blimps.","Yeah, you win.",619,334
20614628,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/20614628.jpg,Futurama Fry,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/20614628,448f5d4a15f5c90ce4d64c75013c8e9a,161623,LEGS IN COVER. TOO HOT. LEGS OUT OF COVER. TOO cold. One leg out. Just right BUt Scared monster under the bed will eat me,Futurama Fry,LEGS IN COVER. TOO HOT. LEGS OUT OF COVER. TOO cold. One leg out. Just right,BUt Scared monster under the bed will eat me,739,952
24194267,http://webarchive.loc.gov/all/0/https://cdn.meme.am/instances/24194267.jpg,One Does Not Simply,http://memegenerator.net/instance/24194267,37feb180a0e7660e360ed94380b39f60,92866,one does not simply  put toothpaste back in the tube,One Does Not Simply,one does not simply ,put toothpaste back in the tube,381,360
10178734,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178734.jpg,Insanity Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178734,fdad05d5c91696d4d5fe68c115b16a7c,57766,?????? ? ?????? ?????,Insanity Wolf,?????? ? ??????,?????,442,617
10178750,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178750.jpg,Butthurt Dweller,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178750,9ae20e047c331353f6325e948061a2eb,41179,??????????? ???,Butthurt Dweller,??????????? ???,-,166,214
10178758,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178758.jpg,Philosoraptor,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178758,b7571984ac1c907c95a6a7764d32c91c,51129,???? ????   ???? ?? ?????? ? ???? ??? wonk,Philosoraptor,???? ???? - ????,?? ?????? ? ???? ??? wonk,775,838
10178763,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178763.jpg,Butthurt Dweller,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178763,1defec0ce1807309bbd60a07aaaeaaef,47349,??????????? ??? ?? ?? ?? ??????,Butthurt Dweller,??????????? ???,?? ?? ?? ??????,128,974
10178766,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178766.jpg,Foul Bachelor Frog,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178766,8dcd041f2651f8dc632bf45496358510,45515,usar mal este meme que de todas maneras lo suban a HD,Foul Bachelor Frog,usar mal este meme,que de todas maneras lo suban a HD,204,497
